player_name,club,position,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
Iličić,Atalanta,Midfielder,78,130,101,57,7,4,8
Traore,Sheriff,Midfielder,78,105,83,33,3,1,1
Larin,Beşiktaş,Forward,78,100,78,0,1,0,0
João Virginia,Sporting CP,Goalkeeper,78,36,28,0,0,0,1
Acuña,Sevilla,Defender,77.8,275,214,40,30,12,15
Saúl Ñíguez,Chelsea,Midfielder,77.8,92,79,0,9,0,0
Rodrygo,Real Madrid,Forward,77.6,209,183,38,13,5,3
Rakitić,Sevilla,Midfielder,77.6,148,124,21,14,3,14
Werner,Chelsea,Forward,77.6,71,58,0,3,0,0
Saelemaekers,Milan,Midfielder,77.5,182,141,28,7,2,1
Čolak,Malmö,Forward,77.5,76,59,0,2,0,0
Meunier,Dortmund,Defender,77.3,271,212,5,18,1,3
Kritsyuk,Zenit,Goalkeeper,77.3,97,74,0,0,0,9
Rits,Club Brugge,Midfielder,77.2,129,101,33,3,1,3
Dumfries,Inter,Defender,77.2,124,93,14,14,2,0
Sérgio Oliveira,Porto,Midfielder,77,127,96,45,20,9,13
Draxler,Paris,Forward,77,76,68,0,1,0,0
Corona,Porto,Forward,77,76,55,28,7,2,2
Vlahović,Juventus,Forward,77,29,22,0,1,0,0
Ziyech,Chelsea,Midfielder,76.8,240,186,26,41,11,3
Klaassen,Ajax,Midfielder,76.7,108,94,50,2,1,0
Pino,Villarreal,Forward,76.7,106,88,0,5,0,0
Courtois,Real Madrid,Goalkeeper,76.7,483,365,0,0,0,27
Grujić,Porto,Midfielder,76.5,131,110,0,0,0,2
Gomes,LOSC,Midfielder,76.5,54,40,50,2,1,0
Malen,Dortmund,Forward,76.3,137,107,33,6,2,2
Tagliafico,Ajax,Defender,76.3,69,57,16,6,1,1
Calabria,Milan,Defender,76.3,120,91,25,8,2,6
Bruno,Sheriff,Midfielder,76.2,82,63,50,6,3,2
Aaronson,Salzburg,Midfielder,76.1,239,181,27,18,5,4
Lemar,Atlético,Midfielder,76.1,171,133,28,14,4,0
Rafa Silva,Benfica,Forward,76.1,187,145,37,8,3,2
Hermoso,Atlético,Defender,76,165,127,0,3,0,8
Musso,Atalanta,Goalkeeper,76,158,120,0,0,0,11
De Paul,Atlético,Midfielder,75.8,293,228,29,17,5,19
Tymchyk,Dynamo Kyiv,Defender,75.8,94,75,0,3,0,2
Tadić,Ajax,Forward,75.7,303,231,43,44,19,8
Ricardo Esgaio,Sporting CP,Defender,75.6,171,146,33,3,1,7
Giroud,Milan,Forward,75.6,48,36,0,3,0,0
Gomez,Liverpool,Defender,75.4,200,173,0,1,0,2
Salih Uçan,Beşiktaş,Midfielder,75.4,57,50,0,3,0,0
Bornauw,Wolfsburg,Defender,75.3,86,68,0,0,0,2
João Mário,Porto,Forward,75.3,126,95,11,9,1,7
Montiel,Sevilla,Defender,75.3,123,103,18,11,2,0
Ricca,Club Brugge,Defender,75.3,61,47,25,4,1,1
Sobol,Club Brugge,Defender,75,96,74,25,4,1,1
Weghorst,Wolfsburg,Forward,75,92,69,0,0,0,0
Birmančević,Malmö,Midfielder,75,92,66,33,3,1,3
Kepa,Chelsea,Goalkeeper,75,28,21,0,0,0,2
Steffen,Wolfsburg,Midfielder,74.8,84,66,50,2,1,0
Paulinho,Sporting CP,Forward,74.8,139,105,0,3,0,0
Bozdoğan,Beşiktaş,Midfielder,74.8,52,39,100,1,1,1
Origi,Liverpool,Forward,74.7,47,35,0,3,0,0
Hefti,Young Boys,Defender,74.7,204,154,30,20,6,3
De Gea,Man. United,Goalkeeper,74.6,164,121,0,0,0,9
Waldschmidt,Wolfsburg,Forward,74.3,30,25,0,0,0,0
Pessina,Atalanta,Midfielder,74.3,100,78,33,3,1,1
Bruno Tabata,Sporting CP,Midfielder,74,76,58,20,5,1,4
Boyko,Dynamo Kyiv,Goalkeeper,74,31,23,0,0,0,2
Vlachodimos,Benfica,Goalkeeper,73.8,345,247,0,0,0,52
Zaidu,Porto,Defender,73.7,152,112,25,8,2,3
Maceiras,Young Boys,Defender,73.7,57,47,0,7,0,1
Gnabry,Bayern,Forward,73.6,231,194,20,10,2,0
Ikoné,LOSC,Midfielder,73.6,97,75,0,0,0,1
Felipe,Atlético,Defender,73.6,195,168,0,0,0,5
Rafael Leão,Milan,Forward,73.5,57,42,27,11,3,0
Köhn,Salzburg,Goalkeeper,73.4,220,156,0,0,0,25
Cristiano,Sheriff,Defender,73.3,159,117,42,21,9,4
Trippier,Atlético,Defender,73.3,95,70,20,5,1,2
Batshuayi,Beşiktaş,Forward,73.2,88,66,0,2,0,0
De Ketelaere,Club Brugge,Forward,73,157,116,30,13,4,2
N. Williams,Liverpool,Defender,73,100,76,42,7,3,1
Von Ballmoos,Young Boys,Goalkeeper,73,85,59,0,0,0,5
Dembélé,Barcelona,Forward,73,57,41,20,10,2,0
Džeko,Inter,Forward,72.9,157,116,0,6,0,1
M. Olsson,Malmö,Defender,72.8,105,82,12,8,1,5
Mukiele,Leipzig,Defender,72.7,196,144,13,15,2,10
Asensio,Real Madrid,Forward,72.6,89,75,25,4,1,1
Angeliño,Leipzig,Defender,72.4,180,132,26,30,8,10
Sierro,Young Boys,Midfielder,72.4,114,86,60,5,3,4
Nikolov,Sheriff,Midfielder,72.4,27,24,0,0,0,0
Yansané,Sheriff,Forward,72.3,37,31,0,0,0,0
Rakip,Malmö,Midfielder,72.2,67,48,50,2,1,4
Maignan,Milan,Goalkeeper,72,114,83,0,0,0,11
Feddal,Sporting CP,Defender,71.5,259,229,0,0,0,7
Sarabia,Sporting CP,Forward,71.5,140,98,53,13,7,4
Kolovos,Sheriff,Midfielder,71.5,88,66,0,1,0,0
Slimani,Sporting CP,Forward,71.5,23,17,0,1,0,0
Casteels,Wolfsburg,Goalkeeper,71.4,182,129,0,0,0,10
Lang,Club Brugge,Forward,71.3,214,152,4,24,1,8
Bushchan,Dynamo Kyiv,Goalkeeper,71,200,142,0,0,0,18
Lefort,Young Boys,Defender,70.7,95,65,50,4,2,2
Delaney,Sevilla,Midfielder,70.5,76,61,0,0,0,1
Karavaev,Dynamo Kyiv,Defender,70.5,57,44,25,4,1,3
Gosens,Atalanta,Midfielder,70.5,56,43,0,0,0,0
Leo Jardim,LOSC,Goalkeeper,70.5,37,26,0,0,0,2
Clinton Mata,Club Brugge,Defender,70.3,200,144,27,11,3,10
De Pena,Dynamo Kyiv,Midfielder,70.3,124,87,10,10,1,3
Taremi,Porto,Forward,70.3,108,75,0,1,0,0
Ersin Destanoğlu,Beşiktaş,Goalkeeper,70.2,145,101,0,0,0,7
Adán,Sporting CP,Goalkeeper,70.2,233,166,0,0,0,34
Otávio,Porto,Midfielder,70,197,149,56,16,9,4
Zapata,Atalanta,Forward,70,130,92,20,5,1,0
Yaremchuk,Benfica,Forward,70,103,71,0,1,0,0
Gudmundsson,LOSC,Defender,70,76,53,0,9,0,2
Rieder,Young Boys,Midfielder,69.7,98,69,11,9,1,3
Di María,Paris,Forward,69.6,154,135,28,7,2,4
Diogo Gonçalves,Benfica,Midfielder,69.4,42,35,20,5,1,1
Athanasiadis,Sheriff,Goalkeeper,69.2,154,106,0,0,0,10
Seiwald,Salzburg,Midfielder,69,258,190,20,25,5,9
Ghezzal,Beşiktaş,Midfielder,69,161,113,14,14,2,3
Kalulu,Milan,Defender,68.8,79,57,50,6,3,2
Van Der Brempt,Club Brugge,Defender,68.8,58,40,28,7,2,2
Baku,Wolfsburg,Midfielder,68.7,144,99,11,9,1,2
Siebatcheu,Young Boys,Forward,68.3,64,51,0,0,0,0
Rulli,Villarreal,Goalkeeper,68.2,489,332,0,0,0,53
Necip Uysal,Beşiktaş,Midfielder,68,55,37,50,2,1,4
Vitinho,Dynamo Kyiv,Midfielder,67.7,28,21,0,2,0,0
Šeško,Salzburg,Forward,67.3,58,40,100,1,1,1
Larsson,Malmö,Defender,67.3,86,67,60,5,3,6
Sowah,Club Brugge,Forward,67.2,110,77,7,14,1,0
Luis Suárez,Atlético,Forward,67,84,57,0,3,0,2
Ulmer,Salzburg,Defender,66.9,277,187,0,16,0,5
Sučić,Salzburg,Midfielder,66.9,194,153,21,14,3,4
Burak Yılmaz,LOSC,Forward,66.6,130,91,16,12,2,9
Capaldo,Salzburg,Midfielder,66.6,112,78,25,8,2,4
Paulo Otávio,Wolfsburg,Defender,66.3,72,48,0,8,0,0
Gerard Moreno,Villarreal,Forward,66.2,163,110,16,6,1,2
Günok,Beşiktaş,Goalkeeper,66,38,25,0,0,0,1
Dzyuba,Zenit,Forward,65.8,61,39,0,0,0,0
Kristensen,Salzburg,Defender,65.8,282,191,0,12,0,1
Correa,Atlético,Forward,65.6,139,107,28,7,2,1
Vrsaljko,Atlético,Defender,65.6,80,55,20,5,1,1
Fernando Costanza,Sheriff,Defender,65.5,136,92,18,11,2,4
Pedro Porro,Sporting CP,Defender,65.4,207,135,8,25,2,6
Wolf,Dortmund,Midfielder,65.2,66,50,25,8,2,0
Kenan Karaman,Beşiktaş,Forward,65,74,56,0,1,0,0
Muriel,Atalanta,Forward,65,59,48,0,5,0,2
Diogo Costa,Porto,Goalkeeper,64.8,269,173,0,0,0,33
Mbabu,Wolfsburg,Defender,64.8,141,96,31,16,5,4
Berget,Malmö,Midfielder,64.2,162,104,28,7,2,0
Pedro Gonçalves,Sporting CP,Midfielder,64.2,83,54,62,8,5,1
Shkurin,Dynamo Kyiv,Forward,64,22,14,0,0,0,0
Gerhardt,Wolfsburg,Midfielder,63,61,44,66,3,2,0
Vecino,Inter,Midfielder,62.5,40,29,0,1,0,0
Chukwueze,Villarreal,Midfielder,62.3,50,37,0,2,0,1
Darmian,Inter,Defender,62,57,41,20,5,1,1
Pervan,Wolfsburg,Goalkeeper,62,40,25,0,0,0,0
Rebić,Milan,Forward,62,21,13,0,2,0,0
Pedraza,Villarreal,Midfielder,61.4,195,151,15,19,3,0
Diawara,Malmö,Goalkeeper,61.3,66,48,0,0,0,4
Elanga,Man. United,Forward,61.3,47,31,0,1,0,1
Pizzi,Benfica,Midfielder,61,61,43,16,6,1,5
Marcano,Porto,Defender,60.5,53,36,0,1,0,1
Adamu,Salzburg,Forward,60.4,59,32,0,1,0,0
Nuno Santos,Sporting CP,Forward,60.1,72,49,11,9,1,1
Moisander,Malmö,Defender,60,86,77,0,0,0,4
Rafa Mir,Sevilla,Forward,58.8,46,29,50,2,1,0
Koopmeiners,Atalanta,Midfielder,57.8,135,106,25,12,3,4
Milner,Liverpool,Midfielder,57.5,157,116,22,9,2,7
Tigges,Dortmund,Forward,57.5,19,9,0,0,0,0
Kean,Juventus,Forward,57.2,44,29,0,0,0,0
Mata,Man. United,Midfielder,57,55,47,0,2,0,4
Tiago Tomás,Sporting CP,Forward,56.8,27,20,33,3,1,0
Núñez,Benfica,Forward,56.4,117,67,22,18,4,2
Oblak,Atlético,Goalkeeper,55.7,283,158,0,0,0,31
Dia,Villarreal,Forward,54.4,46,35,0,0,0,1
Lázaro,Benfica,Midfielder,54,47,38,0,0,0,2
Martínez,Leipzig,Goalkeeper,54,28,15,0,0,0,3
Azmoun,Zenit,Forward,53.6,56,38,50,2,1,0
Adeyemi,Salzburg,Forward,53.1,90,49,28,7,2,1
Dahlin,Malmö,Goalkeeper,53,98,52,0,0,0,13
Yakhshiboev,Sheriff,Forward,52.7,37,22,0,1,0,0
Okafor,Salzburg,Midfielder,51,80,51,0,4,0,0
Grbić,LOSC,Goalkeeper,50.7,165,85,0,0,0,24
Poulsen,Leipzig,Forward,46.8,43,27,0,1,0,0
Haaland,Dortmund,Forward,46.7,50,27,0,1,0,0
Phillips,Liverpool,Defender,44.5,37,33,0,0,0,1
Philipp,Wolfsburg,Forward,44,9,7,0,0,0,1
Brobbey,Leipzig,Forward,42.6,23,13,0,2,0,0
Traoré,Shakhtar Donetsk,Forward,36.5,22,16,0,0,0,0
Verbič,Dynamo Kyiv,Midfielder,35.7,26,18,0,0,0,0
